Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.81,-.40,-.47,-.66,-.36,-.48,-.47,.08,-.49,-.66,-.50,-.52,-.48,***,***,-.49,-.29,-.55
1881,-.79,-.61,-.36,-.25,-.02,-1.10,-.52,-.23,-.32,-.46,-.55,-.13,-.45,-.48,-.64,-.21,-.62,-.44
1882,.13,-.10,-.07,-.57,-.36,-1.01,-.70,-.10,-.06,-.29,-.38,-.66,-.35,-.30,-.04,-.33,-.60,-.24
1883,-.66,-.93,-.44,-.29,-.33,.46,-.01,-.15,-.44,-.55,-.68,-.39,-.37,-.39,-.75,-.35,.10,-.56
1884,-.62,-.35,-.40,-.94,-1.20,-.83,-.86,.14,-.38,-.78,-.83,-1.01,-.67,-.62,-.45,-.85,-.52,-.66
1885,-.93,-.80,-.91,-.87,-.49,-.94,-.63,-.16,-.16,-.03,-.38,.00,-.53,-.61,-.91,-.76,-.58,-.19
1886,-.77,-.83,-.68,-.63,-.57,-.84,-.41,-.74,-.43,-.86,-.50,-.76,-.67,-.60,-.53,-.63,-.66,-.60
1887,-.87,-1.27,-.59,-.84,-.86,-.67,-.41,-.26,-.62,-.52,-.92,-.65,-.71,-.72,-.97,-.76,-.44,-.69
1888,-.78,-.85,-.88,-.33,-.76,-.56,-.35,-.38,-.44,-.31,-.12,-.26,-.50,-.53,-.76,-.66,-.43,-.29
1889,-.34,.12,.04,.09,.05,-.28,-.46,-.62,-.39,-.23,-.48,-.46,-.25,-.23,-.16,.06,-.45,-.37
1890,-.62,-.64,-.63,-.54,-.93,-.59,-.62,-.63,-.37,-.28,-.78,-.55,-.60,-.59,-.57,-.70,-.61,-.47
1891,-.96,-1.06,-.51,-.65,-.50,-.56,-.71,-.59,-.49,-.53,-.51,.06,-.58,-.63,-.86,-.55,-.62,-.51
1892,-.62,-.30,-.58,-.70,-.65,-.55,-.39,-.27,-.48,-.33,-.63,-.61,-.51,-.45,-.29,-.64,-.41,-.48
1893,-1.44,-1.00,-.60,-.67,-.75,-.69,-.13,-.32,-.25,-.07,-.12,-.38,-.54,-.56,-1.02,-.67,-.38,-.15
1894,-.77,-.62,-.40,-.65,-.66,-.49,-.38,-.31,-.43,-.09,-.16,-.18,-.43,-.44,-.59,-.57,-.40,-.22
1895,-.69,-.78,-.51,-.46,-.31,-.29,-.54,-.19,-.15,-.09,-.16,-.09,-.36,-.36,-.55,-.43,-.34,-.14
1896,-.24,-.30,-.53,-.47,-.44,-.45,-.20,-.37,-.10,-.02,-.44,-.20,-.31,-.30,-.21,-.48,-.34,-.18
1897,-.26,-.48,-.30,-.11,-.26,-.17,-.12,-.32,-.15,-.21,.00,-.22,-.22,-.21,-.32,-.22,-.20,-.12
1898,-.12,-.45,-.82,-.59,-.65,-.32,-.37,-.24,-.03,-.42,-.50,-.23,-.39,-.39,-.27,-.69,-.31,-.31
1899,-.43,-.61,-.38,-.25,-.40,-.55,-.31,-.29,-.03,-.29,-.03,-.22,-.32,-.32,-.42,-.35,-.38,-.12
1900,-.53,-.05,-.19,-.17,-.18,-.11,-.36,-.16,-.06,.17,-.10,-.07,-.15,-.16,-.27,-.18,-.21,.00
1901,-.22,-.12,-.12,-.08,-.21,.03,-.24,-.20,.03,-.17,-.14,-.22,-.14,-.12,-.14,-.14,-.13,-.09
1902,-.32,-.05,-.19,-.21,-.33,-.35,-.44,-.51,-.41,-.44,-.50,-.56,-.36,-.33,-.20,-.24,-.44,-.45
1903,-.35,-.15,-.18,-.58,-.47,-.65,-.32,-.42,-.40,-.47,-.46,-.61,-.42,-.42,-.35,-.41,-.47,-.44
1904,-.80,-.76,-.57,-.44,-.65,-.49,-.61,-.49,-.44,-.52,-.26,-.41,-.54,-.55,-.72,-.55,-.53,-.41
1905,-.43,-.98,-.23,-.32,-.35,-.30,-.43,-.27,-.22,-.36,-.09,-.26,-.35,-.37,-.61,-.30,-.34,-.22
1906,-.17,-.33,-.34,.05,-.20,-.23,-.22,-.17,-.31,-.18,-.54,-.26,-.24,-.24,-.25,-.16,-.21,-.34
1907,-.49,-.67,-.47,-.61,-.59,-.67,-.43,-.54,-.39,-.32,-.59,-.66,-.54,-.50,-.47,-.56,-.55,-.44
1908,-.38,-.32,-.51,-.45,-.33,-.42,-.39,-.38,-.16,-.38,-.57,-.39,-.39,-.41,-.45,-.43,-.40,-.37
1909,-.78,-.58,-.49,-.60,-.59,-.42,-.34,-.09,-.18,-.15,-.13,-.54,-.41,-.39,-.58,-.56,-.28,-.15
1910,-.44,-.37,-.45,-.28,-.23,-.33,-.22,-.12,-.09,-.28,-.52,-.66,-.33,-.32,-.45,-.32,-.22,-.30
1911,-.67,-.66,-.62,-.53,-.39,-.38,-.16,-.25,-.26,-.17,-.14,-.25,-.37,-.41,-.66,-.51,-.26,-.19
1912,-.18,-.11,-.42,-.29,-.19,-.26,-.50,-.63,-.36,-.47,-.43,-.33,-.35,-.34,-.18,-.30,-.46,-.42
1913,-.46,-.50,-.59,-.31,-.63,-.61,-.23,-.21,-.21,-.29,-.14,.04,-.35,-.38,-.43,-.51,-.35,-.22
1914,.14,-.04,-.05,-.20,-.02,-.09,-.22,-.08,-.08,.13,-.33,-.21,-.09,-.07,.05,-.09,-.13,-.09
1915,-.17,.06,-.10,-.02,-.22,-.22,.03,-.19,-.01,-.08,.05,-.10,-.08,-.09,-.11,-.11,-.13,-.02
1916,-.06,-.11,-.45,-.28,-.35,-.50,-.36,-.11,-.18,-.14,-.38,-.80,-.31,-.25,-.09,-.36,-.33,-.23
1917,-.53,-.74,-.79,-.53,-.80,-.47,.00,-.39,-.32,-.49,-.32,-.95,-.53,-.52,-.69,-.71,-.29,-.38
1918,-.64,-.59,-.48,-.55,-.78,-.44,-.48,-.47,-.17,.03,-.25,-.35,-.43,-.48,-.73,-.60,-.46,-.13
1919,-.29,-.25,-.11,-.13,-.17,-.17,-.09,-.08,-.20,-.06,-.44,-.30,-.19,-.19,-.30,-.14,-.11,-.23
1920,-.12,-.29,-.17,-.21,-.32,-.38,-.22,-.16,-.17,-.44,-.34,-.49,-.27,-.26,-.24,-.23,-.25,-.32
1921,-.03,-.17,-.13,-.18,-.20,-.10,.01,-.46,-.13,-.09,-.27,-.19,-.16,-.19,-.23,-.17,-.18,-.16
1922,-.42,-.48,-.33,-.11,-.38,-.33,-.05,-.25,-.15,-.24,-.13,-.17,-.25,-.25,-.36,-.27,-.21,-.17
1923,-.28,-.23,-.24,-.47,-.34,-.30,-.51,-.37,-.30,-.08,-.02,-.05,-.27,-.28,-.23,-.35,-.39,-.13
1924,-.31,-.45,-.13,-.51,-.29,-.17,-.17,-.19,-.07,-.17,-.08,-.30,-.24,-.21,-.27,-.31,-.18,-.10
1925,-.44,-.38,-.26,-.17,-.33,-.40,-.41,-.09,-.29,-.34,-.01,.19,-.25,-.29,-.37,-.26,-.30,-.22
1926,.26,.27,.19,-.10,-.35,-.23,-.16,.01,.01,-.10,.04,-.25,-.03,.00,.24,-.09,-.13,-.01
1927,-.20,-.19,-.39,-.35,-.31,-.27,-.08,-.26,-.09,.15,.12,-.24,-.17,-.18,-.21,-.35,-.20,.06
1928,.06,-.01,-.11,-.10,-.38,-.54,-.06,-.04,.03,-.04,.10,-.05,-.09,-.11,-.06,-.20,-.21,.03
1929,-.29,-.52,-.36,-.43,-.40,-.43,-.39,-.38,-.20,.03,-.03,-.59,-.33,-.29,-.28,-.40,-.40,-.07
1930,-.22,-.21,-.05,-.24,-.17,-.23,-.21,-.17,-.13,-.26,.11,-.07,-.15,-.20,-.34,-.15,-.20,-.09
1931,-.15,-.29,-.06,-.29,-.18,-.09,.07,.08,-.18,.04,-.17,.07,-.09,-.11,-.17,-.18,.02,-.10
1932,.32,-.29,-.21,.05,-.19,-.47,-.24,-.19,.04,.08,-.12,-.17,-.12,-.10,.03,-.12,-.30,.00
1933,-.38,-.28,-.27,-.20,-.15,-.28,-.13,-.19,-.12,-.09,-.37,-.56,-.25,-.22,-.28,-.20,-.20,-.19
1934,-.17,-.13,-.37,-.36,-.01,-.19,-.02,.05,-.10,-.07,.03,.07,-.11,-.16,-.29,-.25,-.05,-.04
1935,-.35,.21,.02,-.51,-.36,-.23,-.29,-.24,-.40,-.07,-.33,-.19,-.23,-.21,-.02,-.28,-.26,-.27
1936,-.28,-.43,-.17,-.04,-.29,-.18,.20,.00,-.02,.01,.02,.09,-.09,-.11,-.30,-.17,.01,.00
1937,-.12,.06,-.21,-.20,-.03,-.06,-.14,.03,.22,.19,.27,-.09,-.01,.01,.01,-.15,-.05,.23
1938,-.02,-.01,.18,.26,.07,-.13,-.01,-.09,.08,.30,.10,-.12,.05,.05,-.04,.17,-.08,.16
1939,-.06,-.20,-.38,-.19,-.04,-.12,-.15,-.28,-.16,-.11,-.18,.32,-.13,-.17,-.13,-.20,-.19,-.15
1940,-.24,.04,.09,.00,.04,.14,.19,.06,.17,.04,.04,.21,.06,.07,.04,.04,.13,.08
1941,.01,.20,-.13,.00,.08,.11,.25,.02,-.22,.08,-.07,.00,.03,.05,.14,-.02,.13,-.07
1942,.19,-.03,-.01,-.02,.01,.06,.03,.08,.05,.00,.11,.04,.04,.04,.06,-.01,.06,.05
1943,-.23,.01,-.17,-.02,-.12,-.14,.06,-.19,.04,.27,.06,.19,-.02,-.03,-.06,-.10,-.09,.12
1944,.30,.12,.09,-.08,-.07,-.07,.03,.05,.21,.20,-.01,-.21,.05,.08,.20,-.02,.00,.14
1945,-.01,-.16,-.02,.11,-.28,-.31,-.23,.19,.05,.05,-.07,-.36,-.09,-.07,-.13,-.06,-.12,.01
1946,.00,-.05,-.17,.03,.00,-.18,.04,-.04,.01,-.15,-.08,-.30,-.07,-.08,-.13,-.04,-.06,-.07
1947,-.13,.04,.19,.13,.00,.02,-.01,.02,.03,.25,.22,-.17,.05,.04,-.13,.11,.01,.17
1948,.21,-.15,-.27,-.10,.04,.06,-.15,-.18,.02,-.01,-.15,-.18,-.07,-.07,-.04,-.11,-.09,-.05
1949,.03,-.34,-.06,-.24,-.13,-.15,-.09,-.11,-.05,.03,-.03,-.16,-.11,-.11,-.16,-.14,-.12,-.02
1950,-.29,-.30,-.04,-.21,-.20,-.08,-.11,-.33,-.17,-.20,-.40,-.17,-.21,-.21,-.25,-.15,-.17,-.26
1951,-.38,-.47,-.16,-.04,.05,-.05,-.06,.09,.07,.00,-.03,.12,-.07,-.10,-.34,-.05,-.01,.01
